location.place,location.region,location.country,location.lat,location.lon,current.last_updated_epoch,current.temp_c,current.is_day,current.wind_mph,current.wind_degree,current.pressure_mb,current.precip_mm,current.humidity,current.cloud,current.feelslike_c
Mumbai,Maharashtra,India,18.98,72.83,1629863100,29,1,8.1,210,1008,0.1,75,50,34.9
Chennai,Tamil Nadu,India,13.08,80.28,1629863100,31,1,15,270,1008,0.1,66,50,38.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629863100,24.3,1,16.3,252,1008,0.2,79,29,26.2
Mumbai,Maharashtra,India,18.98,72.83,1629867600,31,1,10.5,250,1008,0.8,75,50,39.6
Chennai,Tamil Nadu,India,13.08,80.28,1629867600,33,1,11.9,290,1007,0.1,56,25,43.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629867600,27.7,1,15.4,268,1009,0.3,61,30,29.4
Mumbai,Maharashtra,India,18.98,72.83,1629867600,31,1,10.5,250,1008,0.8,75,50,39.6
Chennai,Tamil Nadu,India,13.08,80.28,1629867600,33,1,11.9,290,1007,0.1,56,25,43.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629867600,27.7,1,15.4,268,1009,0.3,61,30,29.4
Mumbai,Maharashtra,India,18.98,72.83,1629874800,29,1,11.9,230,1007,0.3,79,75,33.7
Chennai,Tamil Nadu,India,13.08,80.28,1629874800,34,1,9.4,290,1005,0,53,25,42
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629874800,30.9,1,13.6,274,1009,0.1,49,34,32.7
Mumbai,Maharashtra,India,18.98,72.83,1629882900,31,1,10.5,210,1006,1.9,71,75,38.4
Chennai,Tamil Nadu,India,13.08,80.28,1629882900,36,1,5.6,290,1003,0,50,25,46.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629882900,33,1,13.2,275,1008,0.4,45,48,35.6
Mumbai,Maharashtra,India,18.98,72.83,1629882000,31,1,11.9,240,1006,0.1,71,75,38
Chennai,Tamil Nadu,India,13.08,80.28,1629882000,35,1,8.1,290,1003,0,53,25,43.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629882000,34,1,12.3,273,1006,0,42,45,36.8
Mumbai,Maharashtra,India,18.98,72.83,1629890100,29,1,8.1,230,1005,0,75,75,33
Chennai,Tamil Nadu,India,13.08,80.28,1629890100,36,1,6.9,300,1002,0,45,50,46.5
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629890100,34.6,1,12.5,269,1005,0,40,32,37.3
Mumbai,Maharashtra,India,18.98,72.83,1629889200,29,1,11.9,250,1005,0.1,75,75,33
Chennai,Tamil Nadu,India,13.08,80.28,1629889200,35,1,8.1,260,1002,0,50,50,44.7
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629889200,34.4,1,10.3,274,1004,0,40,27,36.8
Mumbai,Maharashtra,India,18.98,72.83,1629892800,29,1,9.4,260,1005,0,79,75,33.2
Chennai,Tamil Nadu,India,13.08,80.28,1629892800,33,0,4.3,180,1002,0,63,50,41.1
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629892800,33.7,0,9.4,278,1004,0,40,46,35.7
Mumbai,Maharashtra,India,18.98,72.83,1629900900,27,0,11.9,230,1006,0.1,84,75,29.6
Chennai,Tamil Nadu,India,13.08,80.28,1629900900,31,0,8.1,200,1004,0,71,25,36.5
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629901800,33,0,8.7,274,1004,0.2,42,67,34.8
Mumbai,Maharashtra,India,18.98,72.83,1629908100,28,0,0,0,1006,0.2,84,75,32
Chennai,Tamil Nadu,India,13.08,80.28,1629908100,30,0,5.6,210,1005,0.1,79,25,35
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629908100,32.3,0,8.3,268,1005,0,44,98,34
Mumbai,Maharashtra,India,18.98,72.83,1629909900,28,0,5.6,210,1006,0.2,89,75,32.2
Chennai,Tamil Nadu,India,13.08,80.28,1629909900,30,0,9.4,180,1006,0.2,79,25,35.1
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629909900,31.8,0,7.2,268,1005,0,45,95,33.6
Mumbai,Maharashtra,India,18.98,72.83,1629910800,28,0,4.3,190,1007,0.4,89,75,32.3
